"staff_id","first_name","last_name","email","sex"
"1","Jean-Pierre","Adams","jean-pierre.adams@xstandard.com","M"
"2","Pierre-Guillaume","Alcock","pierre-guillaume.alcock@xstandard.com","M"
"3","Bjorn-Sven","Andersson","bjorn-sven.andersson@xstandard.com","M"
"4","Paul","Ash","paul.ash@xstandard.com","M"
"5","Orion","Bartlett","orion.bartlett@xstandard.com","M"
"6","John","Bässler","john.bässler@xstandard.com","M"
"7","Oliver","Betts","oliver.betts@xstandard.com","M"
"8","Kevin","Bonner","kevin.bonner@xstandard.com","M"
"9","Mullin","Bonnington","mullin.bonnington@xstandard.com","M"
"10","Mavis","Boyce","mavis.boyce@xstandard.com","F"
"11","Louis","Brown","louis.brown@xstandard.com","M"
"12","Leon","Buckingham","leon.buckingham@xstandard.com","M"
"13","Leah","Buckley","leah.buckley@xstandard.com","M"
"14","Keith","Bulmer","keith.bulmer@xstandard.com","M"
"15","Jo Anne","Butler","jo anne.butler@xstandard.com","F"
"16","Jeffrey","Callaghan","jeffrey.callaghan@xstandard.com","M"
"17","Edgar","Carney","edgar.carney@xstandard.com","M"
"18","Horst","Carpenter","horst.carpenter@xstandard.com","M"
"19","Jaime","Castenada","jaime.castenada@xstandard.com","M"
"20","David-Alexander","Caulfield","david-alexander.caulfield@xstandard.com","M"
"21","Peter","Cheng","peter.cheng@xstandard.com","M"
"22","Henry","Chissock","henry.chissock@xstandard.com","M"
"23","Henri","Christie","henri.christie@xstandard.com","M"
"24","Hans","Clarke","hans.clarke@xstandard.com","M"
"25","Gunther","Colgate","gunther.colgate@xstandard.com","M"
"26","Gunter","Colson","gunter.colson@xstandard.com","M"
"27","Erkhard","Coutts","erkhard.coutts@xstandard.com","M"
"28","Tim","D'Avignon","tim.davignon@xstandard.com","M"
"29","Dave","Day","dave.day@xstandard.com","M"
"30","Marilyn","Diamond","marilyn.diamond@xstandard.com","F"
"31","Bjorn-Sven","Frankmann","bjorn-sven.frankmann@xstandard.com","M"
"32","Bill","Fuller","bill.fuller@xstandard.com","M"
"33","Benjamin","Gayfer","benjamin.gayfer@xstandard.com","M"
"34","August","Gill","august.gill@xstandard.com","M"
"35","Carmen","Gillmore","carmen.gillmore@xstandard.com","F"
"36","Teddy","Gilmore","teddy.gilmore@xstandard.com","M"
"37","Andreas","Girling","andreas.girling@xstandard.com","M"
"38","Jean-Pierre","Glachant","jean-pierre.glachant@xstandard.com","M"
"39","Tim","Gosling","tim.gosling@xstandard.com","M"
"40","Marie-Claude","Gould","marie-claude.gould@xstandard.com","F"
"41","Pierce","Greening","pierce.greening@xstandard.com","M"
"42","Pierre-Guillaume","Greenway","pierre-guillaume.greenway@xstandard.com","M"
"43","Pauline","Grice","pauline.grice@xstandard.com","M"
"44","Edgar","Grimshaw","edgar.grimshaw@xstandard.com","M"
"45","Paul-Henri","Griss","paul-henri.griss@xstandard.com","M"
"46","Patrick","Hall","patrick.hall@xstandard.com","M"
"47","Owen","Hastings","owen.hastings@xstandard.com","M"
"48","David","Hepelwhite","david.hepelwhite@xstandard.com","M"
"49","O.J.","Holsten","o.j.holsten@xstandard.com","M"
"50","Oscar","Holt","oscar.holt@xstandard.com","M"
"51","Orion","Hooper","orion.hooper@xstandard.com","M"
"52","Betty","Jackson","betty.jackson@xstandard.com","F"
"53","Mac","Jeffries","mac.jeffries@xstandard.com","M"
"54","Madeleine","Jessup","madeleine.jessup@xstandard.com","F"
"55","Lewis","Jia","lewis.jia@xstandard.com","M"
"56","Hamid","Joussef","hamid.joussef@xstandard.com","M"
"57","Leon","Kemp","leon.kemp@xstandard.com","M"
"58","Reah","Kerridge","reah.kerridge@xstandard.com","F"
"59","Kev","Kerry","kev.kerry@xstandard.com","M"
"60","Karl","Lee-Washington","karl.lee-washington@xstandard.com","M"
"61","Ernst","Lieberman","ernst.lieberman@xstandard.com","M"
"62","Joleen","Ling","joleen.ling@xstandard.com","F"
"63","Beth","Long","beth.long@xstandard.com","F"
"64","Quentin","Lucas","quentin.lucas@xstandard.com","M"
"65","Britanny","MacCormack","britanny.maccormack@xstandard.com","F"
"66","Hillary","Mackelsfield","hillary.mackelsfield@xstandard.com","F"
"67","Harriet","McCarthy","harriet.mccarthy@xstandard.com","F"
"68","Shelagh","McDonald","shelagh.mcdonald@xstandard.com","F"
"69","Bernard","Mills","bernard.mills@xstandard.com","M"
"70","Ted","Monroe","ted.monroe@xstandard.com","M"
"71","Gunther","Moyse","gunther.moyse@xstandard.com","M"
"72","Patrick","Nerney","patrick.nerney@xstandard.com","M"
"73","Marie","O'Keefe","marie.okeefe@xstandard.com","F"
"74","Biata","Papovitch","biata.papovitch@xstandard.com","F"
"75","David-Alexander","Paulden","david-alexander.paulden@xstandard.com","M"
"76","Cas","Pratt","cas.pratt@xstandard.com","F"
"77","Karl","Ramsey","karl.ramsey@xstandard.com","M"
"78","Oliver","Ramsfield","oliver.ramsfield@xstandard.com","M"
"79","Cathleen","Ripley","cathleen.ripley@xstandard.com","F"
"80","Terrence","Roberts","terrence.roberts@xstandard.com","M"
"81","James","Rollings","james.rollings@xstandard.com","M"
"82","Norman","Rölm","norman.rölm@xstandard.com","M"
"83","Bruno","Rouse","bruno.rouse@xstandard.com","M"
"84","Brady","Samson","brady.samson@xstandard.com","M"
"85","Jeanne","Smart","jeanne.smart@xstandard.com","F"
"86","Benjamin","Smith","benjamin.smith@xstandard.com","M"
"87","August","Sparrow","august.sparrow@xstandard.com","M"
"88","Will","Stoke","will.stoke@xstandard.com","M"
"89","Brigitte","Stokely","brigitte.stokely@xstandard.com","F"
"90","Paule","Sykes","paule.sykes@xstandard.com","M"
"91","Paul-Henri","Symes","paul-henri.symes@xstandard.com","M"
"92","Patty","Trieste","patty.trieste@xstandard.com","F"
"93","Pat","Turner","pat.turner@xstandard.com","F"
"94","Barbara","Wang","barbara.wang@xstandard.com","F"
"95","Oliver","Watkins","oliver.watkins@xstandard.com","M"
"96","Naiome","White","naiome.white@xstandard.com","F"
"97","Charlie","Whitehead","charlie.whitehead@xstandard.com","F"
"98","Børge","Witt","børge.witt@xstandard.com","M"
"99","Vanessa","Worthington","vanessa.worthington@xstandard.com","F"
"100","Jeremy","Zhao","jeremy.zhao@xstandard.com","M"
